GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUEE001,AUUEE002,AUUEE003,NAME_M,AUUEM001,AUUEM002,AUUEM003
G0600750031100,2020-2024,CA,,,California,06,San Francisco County,075,,,031100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031100,,,06075031100,"Census Tract 311, San Francisco County, California",2372,1432,940,"Census Tract 311, San Francisco County, California",250,228,202
G0600750031201,2020-2024,CA,,,California,06,San Francisco County,075,,,031201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031201,,,06075031201,"Census Tract 312.01, San Francisco County, California",1784,849,935,"Census Tract 312.01, San Francisco County, California",195,190,196
G0600750031202,2020-2024,CA,,,California,06,San Francisco County,075,,,031202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031202,,,06075031202,"Census Tract 312.02, San Francisco County, California",804,525,279,"Census Tract 312.02, San Francisco County, California",75,73,84
G0600750031301,2020-2024,CA,,,California,06,San Francisco County,075,,,031301,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031301,,,06075031301,"Census Tract 313.01, San Francisco County, California",1522,1220,302,"Census Tract 313.01, San Francisco County, California",425,431,108
G0600750031302,2020-2024,CA,,,California,06,San Francisco County,075,,,031302,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031302,,,06075031302,"Census Tract 313.02, San Francisco County, California",1716,1041,675,"Census Tract 313.02, San Francisco County, California",210,159,235
G0600750031401,2020-2024,CA,,,California,06,San Francisco County,075,,,031401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031401,,,06075031401,"Census Tract 314.01, San Francisco County, California",628,355,273,"Census Tract 314.01, San Francisco County, California",83,108,82
G0600750031402,2020-2024,CA,,,California,06,San Francisco County,075,,,031402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075031402,,,06075031402,"Census Tract 314.02, San Francisco County, California",1149,997,152,"Census Tract 314.02, San Francisco County, California",172,189,80
G0600750032601,2020-2024,CA,,,California,06,San Francisco County,075,,,032601,,,,,,,,,,,,,,,,,,,,,,,1400000US06075032601,,,06075032601,"Census Tract 326.01, San Francisco County, California",1774,763,1011,"Census Tract 326.01, San Francisco County, California",190,144,165
G0600750032602,2020-2024,CA,,,California,06,San Francisco County,075,,,032602,,,,,,,,,,,,,,,,,,,,,,,1400000US06075032602,,,06075032602,"Census Tract 326.02, San Francisco County, California",1472,768,704,"Census Tract 326.02, San Francisco County, California",139,138,132
G0600750032700,2020-2024,CA,,,California,06,San Francisco County,075,,,032700,,,,,,,,,,,,,,,,,,,,,,,1400000US06075032700,,,06075032700,"Census Tract 327, San Francisco County, California",2503,1497,1006,"Census Tract 327, San Francisco County, California",333,318,281
G0600750032801,2020-2024,CA,,,California,06,San Francisco County,075,,,032801,,,,,,,,,,,,,,,,,,,,,,,1400000US06075032801,,,06075032801,"Census Tract 328.01, San Francisco County, California",1250,749,501,"Census Tract 328.01, San Francisco County, California",162,135,148
G0600750032802,2020-2024,CA,,,California,06,San Francisco County,075,,,032802,,,,,,,,,,,,,,,,,,,,,,,1400000US06075032802,,,06075032802,"Census Tract 328.02, San Francisco County, California",1511,1030,481,"Census Tract 328.02, San Francisco County, California",157,148,133
G0600750032901,2020-2024,CA,,,California,06,San Francisco County,075,,,032901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075032901,,,06075032901,"Census Tract 329.01, San Francisco County, California",1722,1249,473,"Census Tract 329.01, San Francisco County, California",135,169,153
G0600750032902,2020-2024,CA,,,California,06,San Francisco County,075,,,032902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075032902,,,06075032902,"Census Tract 329.02, San Francisco County, California",1310,1113,197,"Census Tract 329.02, San Francisco County, California",182,199,104
G0600750033001,2020-2024,CA,,,California,06,San Francisco County,075,,,033001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075033001,,,06075033001,"Census Tract 330.01, San Francisco County, California",1419,1246,173,"Census Tract 330.01, San Francisco County, California",336,334,82
G0600750033002,2020-2024,CA,,,California,06,San Francisco County,075,,,033002,,,,,,,,,,,,,,,,,,,,,,,1400000US06075033002,,,06075033002,"Census Tract 330.02, San Francisco County, California",1448,896,552,"Census Tract 330.02, San Francisco County, California",168,176,175
G0600750033100,2020-2024,CA,,,California,06,San Francisco County,075,,,033100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075033100,,,06075033100,"Census Tract 331, San Francisco County, California",1383,1226,157,"Census Tract 331, San Francisco County, California",122,136,63
G0600750033201,2020-2024,CA,,,California,06,San Francisco County,075,,,033201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075033201,,,06075033201,"Census Tract 332.01, San Francisco County, California",638,6,632,"Census Tract 332.01, San Francisco County, California",139,10,140
G0600750033203,2020-2024,CA,,,California,06,San Francisco County,075,,,033203,,,,,,,,,,,,,,,,,,,,,,,1400000US06075033203,,,06075033203,"Census Tract 332.03, San Francisco County, California",1424,178,1246,"Census Tract 332.03, San Francisco County, California",263,73,278
G0600750033204,2020-2024,CA,,,California,06,San Francisco County,075,,,033204,,,,,,,,,,,,,,,,,,,,,,,1400000US06075033204,,,06075033204,"Census Tract 332.04, San Francisco County, California",1648,0,1648,"Census Tract 332.04, San Francisco County, California",239,14,239
G0600750035101,2020-2024,CA,,,California,06,San Francisco County,075,,,035101,,,,,,,,,,,,,,,,,,,,,,,1400000US06075035101,,,06075035101,"Census Tract 351.01, San Francisco County, California",1452,661,791,"Census Tract 351.01, San Francisco County, California",260,152,248
