GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,NAME_M,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010
G0600750023400,2020-2024,CA,,,California,06,San Francisco County,075,,,023400,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023400,,,06075023400,"Census Tract 234, San Francisco County, California",3536,125,905,5,971,5,827,698,289,409,"Census Tract 234, San Francisco County, California",794,74,346,8,545,12,255,332,197,290
G0600750025100,2020-2024,CA,,,California,06,San Francisco County,075,,,025100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025100,,,06075025100,"Census Tract 251, San Francisco County, California",3504,2091,55,18,734,23,193,390,198,192,"Census Tract 251, San Francisco County, California",580,460,35,17,362,33,136,207,182,88
G0600750025200,2020-2024,CA,,,California,06,San Francisco County,075,,,025200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025200,,,06075025200,"Census Tract 252, San Francisco County, California",5415,3232,74,0,532,0,375,1202,686,516,"Census Tract 252, San Francisco County, California",686,462,73,19,252,19,249,577,458,349
G0600750025300,2020-2024,CA,,,California,06,San Francisco County,075,,,025300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025300,,,06075025300,"Census Tract 253, San Francisco County, California",4302,2166,55,45,378,0,1101,557,297,260,"Census Tract 253, San Francisco County, California",931,190,53,49,116,14,737,250,118,220
G0600750025401,2020-2024,CA,,,California,06,San Francisco County,075,,,025401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025401,,,06075025401,"Census Tract 254.01, San Francisco County, California",3567,1820,147,9,296,0,250,1045,266,779,"Census Tract 254.01, San Francisco County, California",674,413,129,16,131,14,186,555,143,521
G0600750025402,2020-2024,CA,,,California,06,San Francisco County,075,,,025402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025402,,,06075025402,"Census Tract 254.02, San Francisco County, California",2901,1305,69,11,455,0,789,272,75,197,"Census Tract 254.02, San Francisco County, California",712,261,51,15,107,14,681,118,57,113
G0600750025403,2020-2024,CA,,,California,06,San Francisco County,075,,,025403,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025403,,,06075025403,"Census Tract 254.03, San Francisco County, California",4410,1191,246,33,1242,0,582,1116,895,221,"Census Tract 254.03, San Francisco County, California",649,217,213,36,480,14,432,409,400,112
G0600750025501,2020-2024,CA,,,California,06,San Francisco County,075,,,025501,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025501,,,06075025501,"Census Tract 255.01, San Francisco County, California",4235,555,78,10,1498,11,1575,508,195,313,"Census Tract 255.01, San Francisco County, California",1414,197,96,16,493,20,1200,287,236,160
G0600750025502,2020-2024,CA,,,California,06,San Francisco County,075,,,025502,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025502,,,06075025502,"Census Tract 255.02, San Francisco County, California",3739,1070,58,8,1314,58,556,675,294,381,"Census Tract 255.02, San Francisco County, California",624,306,49,10,409,53,347,223,135,212
G0600750025600,2020-2024,CA,,,California,06,San Francisco County,075,,,025600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025600,,,06075025600,"Census Tract 256, San Francisco County, California",5419,1134,116,0,2939,39,891,300,47,253,"Census Tract 256, San Francisco County, California",673,313,136,19,648,52,466,190,58,173
