zip,tract,res_ratio,date
94122,06075035300,0.0,2022-06
94117,06075030102,0.03802873505475736,2022-06
94117,06075016802,0.009042499748819452,2022-06
94117,06075016300,0.05731940118557219,2022-06
94117,06075016400,0.10122576107706219,2022-06
94117,06075016801,0.06143876218225661,2022-06
94117,06075980300,0.010097458052848387,2022-06
94117,06075016500,0.12433437154626746,2022-06
94117,06075017102,0.09228373354767407,2022-06
94117,06075016700,0.12564051039887472,2022-06
94117,06075017101,0.098864663920426,2022-06
94117,06075016900,0.002612277705214508,2022-06
94117,06075015802,0.020898221641716064,2022-06
94117,06075017000,0.03441173515522958,2022-06
94117,06075030101,0.032854415754044006,2022-06
94158,06075022600,0.0007103534008169064,2022-06
94112,06075031302,0.00027285129604365623,2022-06
94112,06075026002,0.04279217826284675,2022-06
94112,06075031100,0.035379718053660754,2022-06
94112,06075025403,0.027694406548431104,2022-06
94112,06075026001,0.06462028194633924,2022-06
94112,06075025600,0.033287858117326055,2022-06
94112,06075980501,0.0008640291041382447,2022-06
94112,06075026303,0.052160072760345615,2022-06
94112,06075031202,0.03574351978171896,2022-06
94112,06075026003,0.057526148249204184,2022-06
94112,06075031000,0.05206912232833106,2022-06
94112,06075026302,0.04574806730331969,2022-06
94112,06075026004,0.046248294679399726,2022-06
94112,06075026100,0.10441109595270577,2022-06
94112,06075031201,0.07539790814006367,2022-06
94112,06075030800,0.0012733060482037289,2022-06
94112,06075030900,0.0007730786721236926,2022-06
94112,06075026301,0.05347885402455662,2022-06
94112,06075031301,0.0010004547521600727,2022-06
94116,06075060400,0.0003152386356471849,2022-06
94116,06075032901,0.13769623605069037,2022-06
94116,06075030400,0.1254649769875796,2022-06
94116,06075030500,0.0,2022-06
94116,06075035201,0.01885127041170166,2022-06
94116,06075030102,0.0,2022-06
94116,06075032902,0.024336422671962676,2022-06
94116,06075032801,0.08952777252380052,2022-06
94116,06075035400,0.1528907382888847,2022-06
94116,06075035300,0.15226026101759033,2022-06
94116,06075030302,0.05579723850955173,2022-06
94116,06075030600,0.0020805749952714204,2022-06
94116,06075030800,0.04867284534392535,2022-06
94116,06075030301,0.003593720446377908,2022-06
94116,06075032802,0.024084231763444926,2022-06
94123,06075013102,0.008270676691729323,2022-06
94123,06075013200,0.03258145363408521,2022-06
94123,06075012700,0.14442355889724312,2022-06
94123,06075012602,0.13220551378446116,2022-06
94123,06075013101,0.007706766917293233,2022-06
94123,06075012901,0.0893483709273183,2022-06
94123,06075012902,0.14104010025062658,2022-06
94123,06075012601,0.10401002506265664,2022-06
94123,06075060100,0.0010025062656641604,2022-06
94129,06075011700,0.0,2022-06
94129,06075060100,1.0,2022-06
94118,06075060100,0.00021333333333333333,2022-06
94118,06075013300,0.0952,2022-06
94118,06075047600,0.05808,2022-06
94118,06075980300,0.0,2022-06
94118,06075040200,0.13781333333333334,2022-06
94118,06075042602,0.04336,2022-06
94118,06075040100,0.11130666666666666,2022-06
94118,06075042800,0.004373333333333333,2022-06
94118,06075045100,0.11877333333333333,2022-06
94118,06075015600,0.08229333333333333,2022-06
94115,06075015802,0.05998286203941731,2022-06
94115,06075013102,0.0011901361515757403,2022-06
94115,06075013200,0.09735313719889556,2022-06
94115,06075015801,0.09068837475007141,2022-06
94115,06075015500,0.06983718937446444,2022-06
94115,06075015900,0.130200894982386,2022-06
94115,06075013300,0.016804722460249454,2022-06
94115,06075013500,0.09244977625440351,2022-06
94115,06075060100,0.00028563267637817766,2022-06
94115,06075015300,0.056364848138627056,2022-06
94132,06075060400,0.14352599289635132,2022-06
94132,06075033203,0.1579754601226994,2022-06
94132,06075030800,0.00847594446238295,2022-06
94132,06075033201,0.09339683564740071,2022-06
94132,06075031301,0.0950920245398773,2022-06
94132,06075030900,0.04447852760736196,2022-06
94132,06075033204,0.12996448175653857,2022-06
94132,06075033100,0.15789473684210525,2022-06
94132,06075031302,0.14562479819179852,2022-06
94131,06075021500,0.12648952198328997,2022-06
94131,06075020401,0.0023284481577866044,2022-06
94131,06075030500,0.05677304478838515,2022-06
94131,06075030102,0.06910012327078482,2022-06
94131,06075020402,0.1363511847692097,2022-06
94131,06075021400,0.03348856321051911,2022-06
94131,06075021800,0.12669497329132995,2022-06
94131,06075030700,0.028352280509519243,2022-06
94131,06075021300,0.011847692096973018,2022-06
94131,06075031100,0.0740309546637447,2022-06
94131,06075021700,0.18298863169428844,2022-06
94131,06075021600,0.1515545815641693,2022-06
