id,lat,lon,year_month
452,37.774339186,-122.428373303,2015-08
453,37.777083316,-122.416979514,2015-04
454,37.780681746,-122.474544209,2006-11
455,37.744829158,-122.459128983,2013-12
456,37.776922202,-122.417990765,2025-07
457,37.761786791,-122.435013847,2012-11
458,37.719729983,-122.481457967,2018-07
459,37.777755886,-122.494778931,2007-06
460,37.771625224,-122.428592749,2004-10
461,37.803216047,-122.432514629,2000-08
462,37.775519193,-122.481110766,2016-09
463,37.790628923,-122.419850856,1998-08
464,37.776658454,-122.42286212,2009-03
465,37.791010664,-122.416733653,2011-10
466,37.802330166,-122.408900218,2007-01
467,37.786059846,-122.414643592,2015-11
468,37.784299382,-122.410141319,2008-09
469,37.754098381,-122.427590408,2003-11
470,37.748668156,-122.442628145,2014-02
471,37.806486721,-122.410472573,2008-05
472,37.774675034,-122.455779127,2013-02
473,37.744394262,-122.41861751,2015-12
474,37.717394087,-122.477933376,2010-08
475,37.787915709,-122.419301486,2008-06
476,37.773723502,-122.424812687,1998-05
477,37.796707341,-122.398186155,2019-02
478,37.771722675,-122.393266192,2025-05
479,37.734241622,-122.394887141,2013-01
480,37.786727899,-122.412739888,2025-03
481,37.773143355,-122.472866577,2014-03
482,37.783777981,-122.409264025,2005-05
483,37.760752221,-122.430604286,2000-12
484,37.751255239,-122.500447133,2000-04
485,37.780619047,-122.508881439,2020-06
486,37.743089808,-122.496045392,1998-08
487,37.791870902,-122.414268635,1999-11
488,37.78487378,-122.389808109,2022-05
489,37.791700515,-122.408344612,2019-04
490,37.7191169,-122.480491979,2011-07
491,37.736550554,-122.43714439,2016-04
492,37.720124587,-122.483106169,2016-02
493,37.760223001,-122.42032249,2008-09
494,37.79766653,-122.42295946,2000-12
495,37.76005455,-122.493071574,1998-08
496,37.776658454,-122.42286212,2009-01
497,37.762436441,-122.436895081,2000-07
498,37.782599777,-122.394124992,2015-02
499,37.782826994,-122.409709253,2000-08
500,37.772669368,-122.417128906,2014-04
501,37.777846061,-122.437520121,1997-07
502,37.763479278,-122.417902521,2000-06
503,37.776418347,-122.480707128,2012-01
504,37.768442741,-122.422297657,2014-11
505,37.721904919,-122.454617026,2013-11
506,37.780488758,-122.394897291,2011-06
507,37.751501319,-122.417348329,2019-11
508,37.772961453,-122.496112756,1998-07
509,37.762556563,-122.407374698,1999-12
510,37.775616862,-122.47896994,2005-09
511,37.770950097,-122.430145761,2004-04
512,37.716938308,-122.434084553,2002-07
513,37.750340534,-122.409907058,2017-11
514,37.760192292,-122.404141528,2003-05
515,37.777083316,-122.416979514,2023-06
516,37.753594865,-122.4092755,1997-07
517,37.719813899,-122.479321831,1997-06
518,37.761246342,-122.466046391,2004-10
519,37.716896196,-122.478594373,2009-12
520,37.758786021,-122.417423841,1997-05
521,37.805980598,-122.411141131,2013-11
522,37.801753101,-122.408109345,2006-12
523,37.782826994,-122.409709253,2000-08
524,37.793208178,-122.422061501,1998-04
525,37.76161825,-122.441939042,2006-07
526,37.762485512,-122.440125665,2008-10
527,37.802579765,-122.422818364,2006-08
